awards                  , budget         , casting                                                                                                                                                                                                                             , categories                         , country                                       , distributor                            , duration, image_url                                                                             , movie_number, producer                             , realisator                                    , release_date , synospis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , title                                         , trailer_url                                            , trailer_views, year
                        , -              ,                                                                                                                                                                                                                                     , "Animation,Fantastique"            , Chine                                         , Trinity CineAsia                       ,      144, https://fr.web.img5.acsta.net/c_310_420/img/6d/2c/6d2cffe283ff4e0ef4a39a962b989e48.jpg,   1000017478, Yu Yang                              , Yu Yang                                       , 23 avril 2025, "Ne Zha, enfant-démon élevé par des humains, forme une alliance précaire avec le prince-dragon Ao Bing, au cours d’une bataille épique destinée à protéger leurs clans. A la suite de cette bataille, l’être d’Ao Bing s’intègre au corps de Nezha, qui s’embarque alors dans une quête dangereuse pour un elixir qui peut restituer la forme physique d’Ao Bing. Pendant ce voyage jalonné d’affrontements avec les démons, il découvre une conspiration qui va déclencher une guerre dévastatrice entre le ciel et la terre. Ne Zha doit déjouer ces forces traitresses pour protéger ce qui lui est cher."                                                                                                                                                     , Ne Zha 2                                      , /video/player_gen_cmedia=20616105&cfilm=1000017478.html,         34172, 2025
                        , -              , "Adrian Maben,David Gilmour,Roger Waters,Nick Mason,Richard Wright"                                                                                                                                                                 , Concert                            , Grande-Bretagne                               , Pathé Live                             ,       90, https://fr.web.img2.acsta.net/c_310_420/img/97/bd/97bd715b1eea6fa2d4a1076ecc9b7643.jpg,   1000020531,                                      , Adrian Maben                                  , 28 avril 2025, "Pink Floyd at Pompeii - MCMLXXII, le film culte de 1972 remastérisé en 4K avec un son amélioré. Tourné dans les ruines saisissantes de l'ancien amphithéâtre romain de Pompéi, ce film présente Pink Floyd lors d’un concert intime, sans public et offre des visuels spectaculaires, des scènes inédites en coulisse et des morceaux inoubliables tels que « Echoes » et «One of These Days »."                                                                                                                                                                                                                                                                                                                                                                 , Pink Floyd at Pompeii – MCMLXXII              ,                                                        ,             0, 1971
                        , -              , "César Díaz,Bérénice Bejo,Leonardo Ortizgris,Julieta Egurrola,Matheo Labbe"                                                                                                                                                         , Drame                              , " Belgique, France"                           , Bac Films                              ,       93, https://fr.web.img5.acsta.net/c_310_420/img/87/6d/876dff59228da28e4fe442a23e9fcb4d.jpg,       318241, César Díaz                           , César Díaz                                    , 23 avril 2025, "1986. Maria, militante révolutionnaire guatémaltèque, est depuis des années exilée à Mexico où elle poursuit son action politique. Alors que son fils de 10 ans vient vivre avec elle, elle devra faire un choix cornélien entre son rôle de mère ou celui d’activiste."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Mexico 86                                     , /video/player_gen_cmedia=20618482&cfilm=318241.html    ,          2650, 2024
                        , -              , "Emmanuel Finkiel,Mélanie Thierry,Yona Rozenkier,Artem Kyryk,Julia Goldberg,Minou Monfared"                                                                                                                                         , "Drame,Historique"                 , " France, Belgique, Hongrie, Israël, Portugal", Ad Vitam                               ,      131, https://fr.web.img4.acsta.net/c_310_420/img/b6/79/b6799a65d96d357eceae21a9daf3aaa3.jpg,       293908, Emmanuel Finkiel                     , Emmanuel Finkiel                              , 23 avril 2025, "1943, Ukraine, Hugo a 12 ans. Pour le sauver de la déportation, sa mère le confie à son amie d’enfance Mariana, une prostituée qui vit dans une maison close à la sortie de la ville. Caché dans le placard de la chambre de Mariana, toute son existence est suspendue aux bruits qui l’entourent et aux scènes qu’il devine à travers la cloison…"                                                                                                                                                                                                                                                                                                                                                                                                             , La Chambre de Mariana                         , /video/player_gen_cmedia=20618456&cfilm=293908.html    ,         36023, 2025
                        , -              , "Federico Luis,Victor Lopez,Lorenzo Ferro,Kiara Supini,Pehuén Pedie,Camila Hirane,Agustin Toscano,Laura Nevole,Francisco Carrasco"                                                                                                  , Drame                              , " Argentine, Chili, Uruguay"                  , Arizona Distribution                   ,       98, https://fr.web.img6.acsta.net/c_310_420/img/10/52/10524b09a994ff126497cdf3635cc02e.jpg,   1000000604, "Federico Luis,Agustin Toscano"      , Federico Luis                                 , 23 avril 2025, "Simón a 21 ans et vit en Argentine. Depuis peu, il fréquente une nouvelle bande d’amis inattendue. Auprès d’eux, pour la première fois, il a le sentiment d’être lui-même. Mais son entourage s’inquiète et ne le reconnaît plus. Et si Simón voulait devenir quelqu’un d’autre ?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Simón de la montaña                           , /video/player_gen_cmedia=20602786&cfilm=1000000604.html,         74069, 2024
                        , -              , "Jonathan Taïeb,Kim Higelin,Jeremy Kapone,Isabelle Tanakil,Christopher Lambert,Victor Poirier,Jean Adrien,Gunther Van Severen,Ekaterina Rusnak"                                                                                     , "Comédie,Romance"                  , France                                        , Perspective 7                          ,       90, https://fr.web.img3.acsta.net/c_310_420/img/a4/7d/a47d172e39464b0f2aa3ffc7698465c7.jpg,   1000016059, Jonathan Taïeb                       , Jonathan Taïeb                                , 23 avril 2025, Paris. De nos jours. Le temps d'une nuit. Deux inconnus se rencontrent et vivent une aventure inattendue.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Alterlove                                     , /video/player_gen_cmedia=20618123&cfilm=1000016059.html,          2052, 2024
                        , -              , "Simon Gillet,Stephan Castang,Ariel Gillet,Esther Gillet,Nathalie Raphael,Gaël Guillet,Aline Reviriaud,Jacques Norgeville"                                                                                                          , "Drame,Fantastique"                , France                                        , -                                      ,       85, https://fr.web.img2.acsta.net/c_310_420/img/60/46/60463922af8c46eac7c10fcd3a77c249.jpg,   1000021686,                                      , Simon Gillet                                  , 23 avril 2025, "Léo et Léa, huit et dix ans, vivent dans une caravane sur une zone industrielle. Leurs parents n'ayant plus de quoi les nourrir et devant quitter leur logement qu'ils ne peuvent plus payer, prennent la décision de les abandonner. Commence alors pour les deux enfants une étrange et terrible aventure."                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Le temps des ogres                            , /video/player_gen_cmedia=20618279&cfilm=1000021686.html,           238, 2025
                        , -              , "Tal Barda,Izzeldin Abuelaish"                                                                                                                                                                                                      , Documentaire                       , " Canada, France"                             , Destiny Films                          ,       92, https://fr.web.img4.acsta.net/c_310_420/img/72/7a/727ae95703f109b04f3c988e0eb06cf4.jpg,   1000012703, "Tal Barda,Geoff Klein"              , Tal Barda                                     , 23 avril 2025, "Izzeldin Abuelaish, premier médecin palestinien à travailler dans un hôpital israélien, voit sa maison bombardée en 2009, tuant trois de ses filles et une nièce. Malgré cette tragédie, il trouve la force de parler d'espoir et de réconciliation. Exilé depuis au Canada, il milite sans relâche pour la paix entre Israël et la Palestine, ce qui lui vaudra d’être nominé cinq fois pour le Prix Nobel de la Paix."                                                                                                                                                                                                                                                                                                                                         , Un médecin pour la paix                       , /video/player_gen_cmedia=20618380&cfilm=1000012703.html,          1218, 2024
                        , -              , "David F. Sandberg,Ella Rubin,Michael Cimino (II),Odessa A’zion,Ji-young Yoo,Belmont Cameli,Maia Mitchell,Peter Stormare,Willem van der Vegt"                                                                                       , Epouvante-horreur                  , " U.S.A., Suède"                              , Sony Pictures Releasing France         ,      103, https://fr.web.img6.acsta.net/c_310_420/img/4a/3c/4a3c5e628d12c7185ef1b35e5108c572.jpg,       325799, "Gary Dauberman,Blair Butler"        , David F. Sandberg                             , 23 avril 2025, "Un an après la mystérieuse disparition de sa sœur Mélanie, Clover et ses amis se rendent dans la vallée reculée où elle a disparu pour chercher des réponses. Alors qu'ils inspectent une auberge de jeunesse abandonnée, ils se retrouvent traqués par un tueur masqué et horriblement assassinés un par un... mais se réveillent ensuite et se retrouvent au début de la même soirée. Piégés dans la vallée, ils sont forcés de revivre ce cauchemar encore et encore - mais à chaque fois, la menace du tueur est différente, et chaque version est plus terrifiante que la précédente. Alors que l'espoir s'amenuise,  le groupe comprend qu'ils n'ont qu'un nombre limité de vies, et que leur seule chance de s'en sortir est de survivre jusqu'à l'aube. ", Until Dawn : La mort sans fin                 , /video/player_gen_cmedia=20614875&cfilm=325799.html    ,          9031, 2025
                        , -              , "Isaiah Saxon,Helena Zengel,Willem Dafoe,Emily Watson,Finn Wolfhard,Răzvan Stoica,Carol Borș,Andrei Antoniu Anghel,David Andrei Bălțatu,Paul Manalatos,Zoe Midgley,Alexandra Dușă,Ana Maria Cucută,Alexandru Condurat,Anna L. Coats", "Aventure,Famille,Fantastique"     , U.S.A.                                        , KMBO                                   ,       95, https://fr.web.img6.acsta.net/c_310_420/img/f9/d3/f9d3180c99709ba1718007d92f7092e6.jpg,       298446, Isaiah Saxon                         , Isaiah Saxon                                  , 23 avril 2025, "Dans un village isolé des Carpates, Yuri, une jeune fille élevée dans la crainte des mystérieuses créatures de la forêt appelées Ochis, se voit interdire de sortir après la tombée de la nuit. Un jour, elle découvre un bébé Ochi abandonné par sa meute. Déterminée à le ramener auprès des siens, Yuri va défier les interdits et s’engage dans une aventure extraordinaire au cœur des secrets de la forêt."                                                                                                                                                                                                                                                                                                                                                , La Légende d'Ochi                             , /video/player_gen_cmedia=20610692&cfilm=298446.html    ,        180102, 2024
